Name,Gender,Favorite Color,Favorite Flavor,Food Finickiness,Signature Moves,External Texture List,Palette,Breed Face,GUID,Breed Personality,Owner Name,Adoption Date,Generations,Gender,Blood Status,Ancestors,Full Tree,Tree Trimmed,Inbred %,Generations Stored in Tree,Mom,Dad,Profile Comment,Liveliness Center,Liveliness Range,Playfulness Center,Playfulness Range,Independence Center,Independence Range,Confidence Center,Confidence Range,Naughtiness Center,Naughtiness Range,Acrobaticness Center,Acrobaticness Range,Patience Center,Patience Range,Kindness Center,Kindness Range,Nurturing Center,Nurturing Range,Finickiness Center,Finickiness Range,Intelligence Center,Intelligence Range,Messiness Center,Messiness Range,Quirkiness Center,Quirkiness Range,Insanity Center,Insanity Range,Constitution Center,Constitution Range,Metabolism Center,Metabolism Range,Dogginess Center,Dogginess Range,LoveDestiny Center,LoveDestiny Range,Fertility Center,Fertility Range,LoveLoyalty Center,LoveLoyalty Range,Libido Center,Libido Range,OffspringSex Center,OffspringSex Range,Is Neutered?,With Child?,Is Pregnant?
9531,Male,red,milk; catnip,No food finickiness,1,None,None,Tabby,eb4b3379-7aa28849-83fd63f4-59276371,Persian,Bec,7/9/2024 9:51:9 am,781,Male,Mixed Breed,632,false,true,58.0696202531646,10,Carmina,Scholastic,,94,26,89,31,48,16,88,18,58,28,85,34,11,18,92,6,83,18,16,20,38,24,15,44,0,19,0,38,43,9,97,20,45,20,1,0,100,35,0,41,51,31,50,17,Not spayed/neutered,None,Not pregnant
Accent Knee,Male,red; blue,fish; milk; catnip,No food finickiness,1,None,None,B+W Shorthair,98587cda-da224f45-956246e5-b03a1b4,Persian,Tea,5/8/2025 6:29:35 pm,811,Male,Mixed Breed,2758,false,true,54.8223350253807,14,Dareth,Platinum,,86,35,57,26,82,30,90,25,41,13,87,46,90,24,49,22,82,27,20,6,100,14,16,29,0,1,0,36,94,20,85,22,50,20,1,0,100,38,0,15,80,20,50,8,Not spayed/neutered,None,Not pregnant
Ace,Male,red; green,milk; cheese,No food finickiness,1,None,None,Orange Shorthair,ff4345e8-78bda844-a284bbb6-5f22f482,Orange Shorthair,Dahlia @ Spellbound,11/13/2025 4:13:32 pm,814,Male,Mixed Breed,630,false,true,79.5238095238095,10,Gen2 (2),Ladybugs (9),Prefix is Spellbound // No other rules :),18,28,7,12,56,9,81,20,6,32,93,38,14,39,47,27,94,33,7,18,85,22,10,41,0,24,0,46,53,33,93,27,0,19,1,0,100,35,0,14,34,0,50,29,Not spayed/neutered,None,Not pregnant
Acorn,Female,red,fish; turkey,No food finickiness,01; 18,None,None,B+W Shorthair,dd5f3c24-c4ad6f43-bfe554e3-23ae5185,B+W Shorthair,Megan@Xoops,10/4/2024 7:49:46 am,798,Female,Mixed Breed,55306,false,true,95.1036053954363,32,Petrichor,Pouncer9,"Rules: // - Do not resell, if you no longer want the pet please MPA, return to me, or delete. // - Please keep Xoops or FK as a prefix for bred petz if you plan to show. // - You may rename the pet, change gender, trim large files, hex eyelid color, or brex in any way you'd like. //  // Thank you! //  // -Megan @ Oasis & Xoops // http://www.oasis.fantazzled.com/ // http://www.xoops.fantazzled.com/ // http://www.shanty.fantazzled.com/",4,9,15,27,91,19,100,22,8,25,89,14,78,17,71,34,84,40,9,23,69,12,12,30,0,15,0,43,68,19,86,10,100,20,1,0,100,27,0,15,49,27,50,32,Not spayed/neutered,None,Not pregnant
Alfred,Male,red; yellow,chicken; fish,No food finickiness,01; 18,(6) \resource\catz\tabby\stripe3.bmp | \resource\catz\tabby\stripe142.bmp | \resource\catz\tabby\stripe172.bmp | \resource\catz\tabby\stripe162.bmp | \resource\catz\tabby\stripe112.bmp | \resource\catz\tabby\stripe132.bmp,None,Chinchilla Persian,6a72f14-c196764a-9986334-da26f2,Chinchilla Persian,Nebula @ Poppy Hill,10/1/2025 11:22:42 am,721,Male,Mixed Breed,314,false,true,26.7515923566879,9,Cataract,Gotham,"
SGCh EC's Senses Fail - Cataract - owned by Beth P250830263
UGCh  // X // UGCh Calluna's The Hero U Deserve - Gotham - P250905110 //  // - - - - - - //  // + no reselling or mpa'ing please! if no longer wanted, return to me or delete // + prefix poppyhill('s) for dogz, calluna('s) for catz // + free to sex change/brex bred petz unless stated otherwise // +  for hexies: please no touching code/rehexing, minus changing texture pathways.  //  // enjoy your new pet! ~ //  // x nebula @ poppy hill",12,29,90,24,12,26,91,32,96,39,92,21,89,11,86,24,87,27,17,32,68,9,3,26,0,35,0,29,48,33,62,26,0,35,1,0,100,32,0,13,39,46,50,16,Not spayed/neutered,None,Not pregnant
Amelie,Female,red; brown,fish; turkey,No food finickiness,1,None,None,Calico,a4af38ba-4dd7049-a9ec9ecf-558e6cf0,Calico,Nightwish,10/20/2024 12:48:10 pm,645,Female,Mixed Breed,826,false,true,44.1888619854722,11,Manizeh,Arloz,"Thank you for adopting! //  // This pet was bred by Nightwish @ Wild Road //  // RULES //  // Bred petz // - If shown, keep Wild Road as the prefix, feel free to add your own // - Do not put up for download or resell // - Feel free to brex/gender swap/etc // - If no longer wanted, either MPA, return to me or delete //  // Brexed petz // - If shown, keep Wild Road as the prefix, feel free to add your own // - Do not put up for download or resell // - Gender swapping is okay, but please do not edit in any other way // - If no longer wanted, either MPA or return to me //  // Hexed petz // - If shown, keep Wild Road as the prefix, feel free to add your own // - Do not put up for download or resell // - Gender swapping is okay, but please do not edit in any other way // - If no longer wanted return to me",88,7,97,23,20,6,99,26,7,40,92,23,10,18,94,25,88,23,14,28,54,16,6,23,0,30,0,7,36,33,100,20,92,16,1,0,100,48,0,12,54,22,50,31,Not spayed/neutered,None,Not pregnant
Aspen,Male,red; blue,fish,No food finickiness,1,None,None,Orange Shorthair,7910dbc9-e834d4e-9f1888d3-6edb599a,Chinchilla Persian,Witzy @ witzworld,3/14/2024 4:1:16 am,775,Male,Mixed Breed,620,false,true,43.8709677419355,10,Zoom,Rupert,,99,19,49,19,16,17,92,18,14,34,85,14,90,20,97,17,16,28,5,39,42,38,12,36,0,19,0,32,51,32,86,18,0,11,1,0,100,18,0,17,51,7,50,18,Not spayed/neutered,None,Not pregnant
Atwood,Male,red; blue,chicken; beef; soft; water,No food finickiness,1,None,None,Persian,43e649fc-f88a3d49-a5c26434-bbfa6442,Persian,Tea,12/1/2025 6:56:2 pm,691,Male,Mixed Breed,2692,false,true,72.0282317979198,15,Barley Mow,Agatha,"Bred Petz (Excluding special lines such as the Red Rising Goldies): //  // Feel free to brex, hex, rename, gender swap, MPA or delete! //  // Hexed Petz: //  // Please do not alter the pet in any way and please return if no longer wanted.",42,21,82,30,10,38,55,7,84,25,4,42,15,39,84,46,87,14,9,22,44,15,19,32,0,32,0,26,17,23,87,19,100,33,1,0,100,23,0,28,96,5,50,13,Not spayed/neutered,None,Not pregnant
Bean,Female,green; yellow,fish; turkey; soft; water,Dislikes only cheese,1,None,None,Persian,169bb8b-17be3345-aaf620ad-ffa6178a,Persian,hoodie,7/22/2025 2:43:58 am,554,Female,Mixed Breed,57810,false,true,98.0384016606124,36,Paradox,Firecracker,"hello, thank you for adopting! //  // please check out my petz policy below: // https://purrfume.neocities.org/policy //  // in short, bred petz = go wild // hexed petz pls refer to the link above //  // prefix is Perfume('s) if shown, you can either use it on it's own or combine it with yours! // any issues or questions pls contact me on discord (i'm hoodie in PL) //  // OWS I COMMONLY USE: // - sharon's poodley persian // - toto's halfie cali v2 // - amanda@cargo's bicolour bws // - tea's now with more mange alleycat // - amanda@cargo's smoke & tabby maine coon // - amanda@cargo's tabby colors & patterns OR torbie tabby // - silverfish's textured oshie",98,26,3,9,84,46,73,8,84,16,18,33,14,8,83,28,94,26,18,26,63,30,15,10,0,39,0,44,52,13,17,32,50,7,1,0,100,32,0,33,61,14,50,32,Not spayed/neutered,None,Not pregnant
Black Thread,Female,green; blue,fish; turkey,No food finickiness,01; 03,None,None,Calico,f4c09e6-3de62f40-b81c427b-e6357bdc,Calico,Kris@Tanglewood,11/8/2024 11:30:14 pm,6,Female,Purebred,62,false,false,0,6,Embrosie,Void,"Thank you for adopting a pet from me! I'm Kristina (EntwinedLove) of Tanglewood. Rules for adoption are quite simple: Once the pet is yours, it's yours. Except please don't resell (like on Pet Bazaar.) If you show, please use Tangled as a prefix!",94,22,84,32,15,33,83,17,3,35,85,31,89,8,95,33,81,29,14,23,54,32,16,18,0,27,0,42,56,33,48,31,0,9,1,0,100,25,0,22,70,29,50,43,Not spayed/neutered,None,Not pregnant
