Name,Gender,Favorite Color,Favorite Flavor,Food Finickiness,Signature Moves,External Texture List,Palette,Breed Face,GUID,Breed Personality,Owner Name,Adoption Date,Generations,Gender,Blood Status,Ancestors,Full Tree,Tree Trimmed,Inbred %,Generations Stored in Tree,Mom,Dad,Profile Comment,Liveliness Center,Liveliness Range,Playfulness Center,Playfulness Range,Independence Center,Independence Range,Confidence Center,Confidence Range,Naughtiness Center,Naughtiness Range,Acrobaticness Center,Acrobaticness Range,Patience Center,Patience Range,Kindness Center,Kindness Range,Nurturing Center,Nurturing Range,Finickiness Center,Finickiness Range,Intelligence Center,Intelligence Range,Messiness Center,Messiness Range,Quirkiness Center,Quirkiness Range,Insanity Center,Insanity Range,Constitution Center,Constitution Range,Metabolism Center,Metabolism Range,Dogginess Center,Dogginess Range,LoveDestiny Center,LoveDestiny Range,Fertility Center,Fertility Range,LoveLoyalty Center,LoveLoyalty Range,Libido Center,Libido Range,OffspringSex Center,OffspringSex Range,Is Neutered?,With Child?,Is Pregnant?
9055,Female,"red; green","beef; bone","No food finickiness","01",None,None,Dalmatian,"d8b9166-efcdc643-b681857-e51f7b88","Dalmatian","Bec","4/14/2024 7:20:26 am","329","Female","Mixed Breed","622","false","true","50.32154340836013","10","Croquet","Chandler","",35,21,91,25,1,41,46,23,92,12,87,29,60,32,95,18,86,20,0,6,95,9,4,39,0,23,0,26,95,25,43,26,100,17,1,0,100,25,0,26,31,22,50,29,Not spayed/neutered,None,Not pregnant
9784,Male,"yellow; blue","beef","No food finickiness","01",None,None,Dalmatian,"ef7069b1-8f80fe4e-861f36f-1d4e133f","Dalmatian","Bec","10/14/2024 6:50:32 am","936","Male","Mixed Breed","634","false","true","89.58990536277602","10","Katya","Detroit","",98,32,91,37,0,20,66,38,35,6,0,36,95,24,80,36,100,6,0,13,12,45,15,15,0,35,0,22,42,29,19,20,100,23,1,0,100,12,0,22,41,26,50,16,Not spayed/neutered,None,Not pregnant
Astra,Male,"green; yellow","beef","No food finickiness","01",None,None,Labrador / Mutt,"2b3ba455-6bec8a42-ba5b6d8e-ff497e98","Golden Retriever","Andi @ Cirrutopia","11/18/2025 7:18:1 pm","1046","Male","Mixed Breed","2558","false","true","99.687255668491","12","Anthracite","Ultima","Cirrutopia's ________________________ //  // Enjoy! :) //  // All I ask is that you keep Cirrutopia in the show name. Feel free to delete/adopt out/trade/brex as you wish. //  // Andi // cirrutopiapetz@gmail.com // IG: HarmonyFarmsNJ //  // https://www.harmonyfarmsnj.com/petz",61,20,95,2,1,44,41,29,1,18,13,17,53,18,95,35,80,36,0,21,83,9,17,17,100,6,0,25,43,8,32,27,100,37,1,0,100,26,0,20,37,43,50,26,Not spayed/neutered,None,Not pregnant
Berryman,Male,"red; green","beef; bone","No food finickiness","01",None,None,Bulldog,"c96486e2-88808e4e-a2a3aa79-a46a9aa9","Bulldog","Becca@Sungraze","8/15/2024 4:43:42 am","1039","Male","Mixed Breed","1580","false","true","76.89873417721519","13","Marharyta","Eclipse","",3,38,39,13,1,29,41,35,13,19,96,24,95,21,88,27,96,34,0,27,98,30,4,43,0,34,0,11,53,23,15,21,100,28,1,0,100,20,0,46,58,12,50,18,Not spayed/neutered,None,Not pregnant
Cerulean,Female,"green; pink","beef; bone","No food finickiness","01",None,None,Dalmatian,"815da07e-f984a548-996b52e-dc79dd43","Dalmatian","Lyric@Lemonade","11/13/2024 4:49:28 am","713","Female","Mixed Breed","318","false","true","34.59119496855346","9","Arceus","Pullover","",6,45,89,21,11,34,68,6,20,6,1,32,49,24,84,30,83,35,0,11,17,25,11,29,0,25,0,32,16,14,1,38,100,13,1,0,100,29,0,12,39,24,50,5,Not spayed/neutered,None,Not pregnant
Corvette,Male,"red; green","beef; bone","No food finickiness","01",None,None,Great Dane,"8022a4f6-627ea44-a9cc24f-7fbca699","Labrador","Angora","7/29/2025 11:38:52 pm","1042","Male","Mixed Breed","322","false","true","99.37888198757764","10","Rufus4","Rufus2","",36,2,96,23,12,40,70,29,38,36,100,37,90,29,94,25,81,30,0,31,89,39,18,31,0,43,0,30,32,22,72,34,100,16,1,0,100,35,0,16,63,11,50,24,Not spayed/neutered,None,Not pregnant
Ebony,Female,"green","fish; bone","No food finickiness","01",(3) \resource\textures\wavy.bmp | \resource\textures\crested-35.bmp | \resource\textures\crested-35.bmp,None,Chihuahua,"be9df8b3-81e81546-b531dcd-28a3915","Chihuahua","Moss Rose","3/12/2025 6:2:38 pm","1","Female","Purebred","0","true","false","0.0","1","None","None","Please use Mosswood Revelry as the prefix if you intend to show! //  // Please also message @mossrose on discord if you gender-swap or rename so that she can update her Chinese Crested Brexing Database. //  // If you no longer wish to keep them, please return to Moss!",81,16,94,21,15,5,49,34,99,25,58,42,10,24,78,12,31,20,0,3,41,28,11,18,0,5,0,23,64,24,99,16,100,19,1,0,100,28,0,34,66,18,50,32,Not spayed/neutered,None,Not pregnant
Fifi8,Male,"blue; pink","chicken; beef; bone","Dislikes only cheese","01",None,None,Poodle,"74f7e5c-d829e643-b2592358-69fef1f4","Poodle","Lizzie","7/16/2025 9:47:20 pm","2","Male","Mixed Breed","2","true","false","0.0","2","Petra","Beddie","For Catz: please use prefix Ferality's if shown! //  // For Dogz: please use prefix Echelon's if shown! //  // Example:  // Ferality's CatzName at [Your Suffix] // Echelon's DogzName at [Your Suffix] //  // Feel free to make brex changes (eye/eyelid/nose colors) etc, palette swap, sex change, adopt out, whatever. My biggest thing is using my prefix/suffix if you show, and if you got a pet from me for free please do not sell it (welcome to give away to someone else for free). Ty! <3 //  // For HEXED PETZ such as ditto and flareon, please do not duplicate them, or use them as a hex base, modify them, etc, without asking me first. If you have any questions or changes you want to make please contact me. Thanks!",47,19,19,22,48,26,32,24,88,35,18,25,10,9,39,22,75,30,6,28,36,18,6,30,0,29,0,9,43,7,65,48,100,34,1,0,100,20,0,21,32,15,50,21,Not spayed/neutered,None,Not pregnant
Ghost,Male,"green; blue","beef","No food finickiness","01",None,None,Great Dane,"a156862b-4d12d048-86e5b3c9-cefcda1b","Labrador","Lulu@Azliqueur","1/31/2025 6:58:33 am","6","Male","Mixed Breed","10","false","false","0.0","6","Requiem","Havoc","Thanks for adopting this lovely pet! // Do as you would like with the pet file, but please keep Azliqueur's in the show name. // Discord- @Valiantlulu",68,9,61,25,50,0,50,12,34,0,50,7,80,12,80,24,99,31,0,25,66,34,2,39,0,27,0,48,51,34,46,25,100,34,1,0,100,25,0,8,51,26,50,25,Not spayed/neutered,None,Not pregnant
Grimkel,Female,"yellow; blue","beef","Dislikes only cheese","01; 06",None,None,Poodle,"80d03c29-3c8b3c42-8fd322cf-9df2c7f0","Dalmatian","Becca@Sungraze","11/3/2024 3:29:1 am","454","Female","Mixed Breed","1316","false","true","69.98480243161094","12","Reedstalk","Anther","",7,28,10,20,83,22,99,20,30,47,11,31,8,28,92,46,100,31,0,38,82,12,2,34,0,35,0,26,38,32,28,37,100,39,1,0,100,24,0,25,50,12,50,27,Not spayed/neutered,None,Not pregnant
