Name,BigPic,Gender,Favorite Color,Favorite Flavor,Food Finickiness,Signature Moves,External Texture List,Palette,Breed Face,GUID,Breed Personality,Owner Name,Adoption Date,Generations,Gender,Blood Status,Ancestors,Full Tree,Tree Trimmed,Inbred %,Generations Stored in Tree,Mom,Dad,Profile Comment,Liveliness Center,Liveliness Range,Playfulness Center,Playfulness Range,Independence Center,Independence Range,Confidence Center,Confidence Range,Naughtiness Center,Naughtiness Range,Acrobaticness Center,Acrobaticness Range,Patience Center,Patience Range,Kindness Center,Kindness Range,Nurturing Center,Nurturing Range,Finickiness Center,Finickiness Range,Intelligence Center,Intelligence Range,Messiness Center,Messiness Range,Quirkiness Center,Quirkiness Range,Insanity Center,Insanity Range,Constitution Center,Constitution Range,Metabolism Center,Metabolism Range,Dogginess Center,Dogginess Range,LoveDestiny Center,LoveDestiny Range,Fertility Center,Fertility Range,LoveLoyalty Center,LoveLoyalty Range,Libido Center,Libido Range,OffspringSex Center,OffspringSex Range,Is Neutered?,With Child?,Is Pregnant?
Actea,,Female,yellow,turkey,No food finickiness,1,None,None,Calico,59623a1-ace244d-83f27041-6b1d610,Calico,Hash,11/20/2023 12:15:22 am,1,Female,Purebred,0,true,false,0,1,None,None,,92,16,88,38,13,10,96,9,10,24,86,7,97,25,96,27,94,25,11,17,45,11,6,13,0,36,0,22,52,39,67,17,0,37,1,0,100,23,0,3,65,16,50,4,Not spayed/neutered,None,Not pregnant
ADD04,,Male,blue,beef,No food finickiness,1,(4) \resource\dogz\vscale.bmp | \resource\dogz\vscale2.bmp | \resource\dogz\vscale3.bmp | \resource\dogz\vscale4.bmp,None,Labrador / Mutt,f58479-31869140-91a99b2a-3d31b9e7,VPZSnake,Becca @ Retro,8/6/2024 11:26:55 am,1,Male,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,87,6,92,35,0,10,61,29,16,29,0,38,0,35,70,18,44,27,100,10,1,0,100,35,0,22,41,36,50,20,Not spayed/neutered,None,Not pregnant
Adrian,,Non-binary,blue,fish; catnip,Only likes 1 flavor,8,(3) \art\textures\PURP.bmp | \art\textures\PURP.bmp | \art\textures\PURP.bmp,None,Persian,be76c03f-d8c9574c-8af0bc31-abc77fd1,Persian,gyiyg,6/2/2021 1:17:22 am,1,Female,Purebred,0,true,false,0,1,None,None,,13,11,99,18,3,23,50,6,7,36,12,33,8,17,91,17,99,26,16,20,70,18,6,26,20,16,0,15,55,40,12,34,0,2,1,0,100,16,0,32,58,16,50,12,Not spayed/neutered,None,Not pregnant
Aglaia,,Female,red,cheese,No food finickiness,16,None,None,Labrador / Mutt,97dc1ecd-6c73ab42-b732172e-30241784,Labrador,Catherine,10/24/2011 8:1:26 pm,1,Female,Purebred,0,true,false,0,1,None,None,,87,11,86,26,8,24,85,34,2,24,94,7,90,6,99,37,100,29,0,40,100,10,15,9,0,19,0,12,63,41,51,35,100,28,1,0,100,22,0,22,45,32,50,27,Not spayed/neutered,None,Not pregnant
Banana,,Female,blue,beef,No food finickiness,21,None,cirhappy,Labrador / Mutt,e3846cce-ee3b664e-855aedac-c94525a6,Mutt,Angora,11/15/2025 3:52:41 pm,1,Female,Purebred,0,true,false,0,1,None,None,,98,38,100,41,8,19,55,13,0,36,89,17,86,7,91,42,85,9,0,30,83,9,12,34,0,18,0,36,43,24,63,28,100,21,1,0,100,15,0,33,59,16,50,7,Not spayed/neutered,None,Not pregnant
Bangsley,,Male,blue,cheese,No food finickiness,1,(4) \resource\textures\xmasgoodies-6.bmp | \resource\textures\xmaschev22.bmp | \resource\textures\xmaschev26.bmp | \resource\textures\xgoldfoil.bmp,None,Maine Coon,3ccac63e-d97ac45-ad422192-d2e9768f,Maine Coon,Megan@Xoops,11/23/2025 11:21:14 pm,1,Male,Purebred,0,true,false,0,1,None,None,"-Do not alter or copy the coding, or claim as your own. Rerouting textures is fine. // -No redistributing, reselling, or file-sharing. // -Keep Xoops in the prefix for hexed petz if you plan to show. // -Do not MPA or delete - please return to me at xoops@fantazzled.com if you no longer want this pet. //  // Thank you! //  // -Megan @ Oasis & Xoops // http://www.oasis.fantazzled.com/ // http://www.xoops.fantazzled.com/ // http://www.shanty.fantazzled.com/",82,8,17,34,6,6,96,26,7,20,85,18,95,25,83,14,87,37,13,9,100,16,8,39,0,13,0,28,89,15,92,40,99,7,1,0,100,12,0,37,35,25,50,15,Not spayed/neutered,None,Not pregnant
Baxter,,Female,yellow,beef,No food finickiness,1,None,None,Dalmatian,bbc7875-483f7d41-8f36f6dd-58cc804d,Dalmatian,Angora,5/4/2026 12:3:28 am,1,Female,Purebred,0,true,false,0,1,None,None,,99,28,84,6,14,9,49,42,65,27,61,25,38,24,85,16,100,28,0,9,5,28,4,25,0,40,0,33,6,19,5,38,100,15,1,0,100,30,0,35,48,1,50,25,Not spayed/neutered,None,Not pregnant
Berryboo,,Male,yellow,chicken,No food finickiness,2,None,slugz,Russian Blue,c5195919-87859746-8068f084-241d4fb8,Russian Blue,mazzew,11/4/2024 6:36:55 am,1,Male,Purebred,0,true,false,0,1,None,None,,100,16,80,48,8,23,94,16,32,29,1,42,83,27,0,25,90,28,13,31,62,38,7,40,0,36,0,16,57,27,37,24,0,19,1,0,100,32,0,5,37,33,50,9,Not spayed/neutered,None,Not pregnant
Blaine,,Male,red,beef,No food finickiness,12,(1) \Resource\Dogz\Pokemon\ORANGEZ.bmp,None,Great Dane,3a4c2a9d-41cabb4b-a35fe951-d935e,Labrador,Audaxity,7/7/2025 12:6:47 am,1,Male,Purebred,0,true,false,0,1,None,None,"Rules: // -Hexed on Solloby's horse file // -Prefix is Audaxity or TW // -No resell // -If no longer wanted, please MPA or return to petzspiderbatz@gmail.com or CelestialEvolution/Audaxity on Discord // -Minor fixes/name changes/gender swapping/etc are all fine! Pls feel free to ask about any bigger changes or if it's something you don'tk know how to change yourself! // -Enjoy!",38,39,84,17,68,38,63,37,2,28,76,26,16,23,84,19,80,14,0,26,83,22,4,15,0,21,0,16,47,21,59,35,100,3,1,0,100,37,0,16,58,36,50,19,Not spayed/neutered,None,Not pregnant
Blanket,,Male,yellow,beef,No food finickiness,1,(2) \resource\catz\MEDICAL_BOUTIQUE\meds6fur.bmp | \Resource\Catz\plushrb\plushrb55.bmp,None,Sheepdog,b07641ea-411f8143-b8d301d-13ea9143,Sheepdog,Bard@Shipwreck,12/7/2021 6:5:2 pm,1,Male,Purebred,0,true,false,0,1,None,None,,45,39,87,9,9,21,52,21,6,29,0,28,92,46,84,26,89,26,0,25,16,49,18,29,11,15,0,36,10,28,31,36,100,16,1,0,100,10,0,37,42,23,50,20,Not spayed/neutered,None,Not pregnant
